"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"[{""page_index"":0,""viewing_time"":3475},{""page_index"":1,""viewing_time"":52838}]","56313","instructions","0","56317","0.0-0.0","","","","","","",""
"","4816","canvas-keyboard-response","1","61651","0.0-1.0-0.0","f","true","10","false","response","true",""
"","null","html-keyboard-response","2","63178","0.0-1.0-1.0","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","9526","canvas-keyboard-response","3","73218","0.0-1.0-0.1","j","false","40","true","response","true",""
"","null","html-keyboard-response","4","74738","0.0-1.0-1.1","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2097","canvas-keyboard-response","5","77337","0.0-1.0-0.2","j","false","10","true","response","true",""
"","null","html-keyboard-response","6","78849","0.0-1.0-1.2","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2435","canvas-keyboard-response","7","81788","0.0-1.0-0.3","j","false","40","false","response","true",""
"","null","html-keyboard-response","8","83301","0.0-1.0-1.3","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1212","canvas-keyboard-response","9","85018","0.0-1.0-0.4","f","true","20","true","response","true",""
"","null","html-keyboard-response","10","86546","0.0-1.0-1.4","null","","","","","","Correct!"
"","753","canvas-keyboard-response","11","87808","0.0-1.0-0.5","f","true","30","false","response","true",""
"","null","html-keyboard-response","12","89323","0.0-1.0-1.5","null","","","","","","Correct!"
"","1394","canvas-keyboard-response","13","91220","0.0-1.0-0.6","j","true","20","true","response","false",""
"","null","html-keyboard-response","14","92724","0.0-1.0-1.6","null","","","","","","Wrong"
"","4573","canvas-keyboard-response","15","97808","0.0-1.0-0.7","j","false","30","false","response","true",""
"","null","html-keyboard-response","16","99320","0.0-1.0-1.7","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","3689","canvas-keyboard-response","17","103522","0.0-1.0-0.8","j","false","20","true","response","true",""
"","null","html-keyboard-response","18","105036","0.0-1.0-1.8","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","2768","canvas-keyboard-response","19","108307","0.0-1.0-0.9","j","false","30","true","response","true",""
"","null","html-keyboard-response","20","109814","0.0-1.0-1.9","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1513","canvas-keyboard-response","21","111838","0.0-1.0-0.10","j","false","30","true","response","true",""
"","null","html-keyboard-response","22","113345","0.0-1.0-1.10","null","","","","","","Correct!"
"","809","canvas-keyboard-response","23","114660","0.0-1.0-0.11","f","true","10","true","response","true",""
"","null","html-keyboard-response","24","116177","0.0-1.0-1.11","null","","","","","","Correct!"
"","739","canvas-keyboard-response","25","117428","0.0-1.0-0.12","f","true","20","false","response","true",""
"","null","html-keyboard-response","26","118958","0.0-1.0-1.12","null","","","","","","Correct!"
"","668","canvas-keyboard-response","27","120132","0.0-1.0-0.13","f","true","40","true","response","true",""
"","null","html-keyboard-response","28","121653","0.0-1.0-1.13","null","","","","","","Correct!"
"","923","canvas-keyboard-response","29","123086","0.0-1.0-0.14","j","false","10","true","response","true",""
"","null","html-keyboard-response","30","124598","0.0-1.0-1.14","null","","","","","","Correct!"
"","2303","canvas-keyboard-response","31","127405","0.0-1.0-0.15","j","false","30","true","response","true",""
"","null","html-keyboard-response","32","128911","0.0-1.0-1.15","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1817","canvas-keyboard-response","33","131230","0.0-1.0-0.16","f","true","30","true","response","true",""
"","null","html-keyboard-response","34","132740","0.0-1.0-1.16","null","","","","","","Correct!"
"","1232","canvas-keyboard-response","35","134481","0.0-1.0-0.17","f","true","20","true","response","true",""
"","null","html-keyboard-response","36","135988","0.0-1.0-1.17","null","","","","","","Correct!"
"","2640","canvas-keyboard-response","37","139145","0.0-1.0-0.18","j","false","40","true","response","true",""
"","null","html-keyboard-response","38","140664","0.0-1.0-1.18","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1650","canvas-keyboard-response","39","142818","0.0-1.0-0.19","j","false","40","true","response","true",""
"","null","html-keyboard-response","40","144334","0.0-1.0-1.19","null","","","","","","Correct!"
"","2041","canvas-keyboard-response","41","146877","0.0-1.0-0.20","j","false","40","false","response","true",""
"","null","html-keyboard-response","42","148393","0.0-1.0-1.20","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1003","canvas-keyboard-response","43","149902","0.0-1.0-0.21","f","true","10","true","response","true",""
"","null","html-keyboard-response","44","151423","0.0-1.0-1.21","null","","","","","","Correct!"
"","898","canvas-keyboard-response","45","152829","0.0-1.0-0.22","j","false","30","false","response","true",""
"","null","html-keyboard-response","46","154346","0.0-1.0-1.22","null","","","","","","Correct!"
"","910","canvas-keyboard-response","47","155761","0.0-1.0-0.23","f","true","20","true","response","true",""
"","null","html-keyboard-response","48","157276","0.0-1.0-1.23","null","","","","","","Correct!"
"","940","canvas-keyboard-response","49","158718","0.0-1.0-0.24","j","false","10","false","response","true",""
"","null","html-keyboard-response","50","160233","0.0-1.0-1.24","null","","","","","","Correct!"
"","1327","canvas-keyboard-response","51","162062","0.0-1.0-0.25","j","true","20","true","response","false",""
"","null","html-keyboard-response","52","163583","0.0-1.0-1.25","null","","","","","","Wrong"
"","735","canvas-keyboard-response","53","164820","0.0-1.0-0.26","j","false","10","true","response","true",""
"","null","html-keyboard-response","54","166329","0.0-1.0-1.26","null","","","","","","Correct!"
"","723","canvas-keyboard-response","55","167553","0.0-1.0-0.27","f","true","40","false","response","true",""
"","null","html-keyboard-response","56","169070","0.0-1.0-1.27","null","","","","","","Correct!"
"","2227","canvas-keyboard-response","57","171800","0.0-1.0-0.28","j","false","40","true","response","true",""
"","null","html-keyboard-response","58","173314","0.0-1.0-1.28","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","680","canvas-keyboard-response","59","174515","0.0-1.0-0.29","j","false","20","true","response","true",""
"","null","html-keyboard-response","60","176033","0.0-1.0-1.29","null","","","","","","Correct!"
"","641","canvas-keyboard-response","61","177182","0.0-1.0-0.30","f","true","30","false","response","true",""
"","null","html-keyboard-response","62","178703","0.0-1.0-1.30","null","","","","","","Correct!"
"","1450","canvas-keyboard-response","63","180660","0.0-1.0-0.31","j","false","40","true","response","true",""
"","null","html-keyboard-response","64","182162","0.0-1.0-1.31","null","","","","","","Correct!"
"","919","canvas-keyboard-response","65","183583","0.0-1.0-0.32","j","false","40","false","response","true",""
"","null","html-keyboard-response","66","185099","0.0-1.0-1.32","null","","","","","","Correct!"
"","638","canvas-keyboard-response","67","186242","0.0-1.0-0.33","j","false","40","true","response","true",""
"","null","html-keyboard-response","68","187749","0.0-1.0-1.33","null","","","","","","Correct!"
"","903","canvas-keyboard-response","69","189167","0.0-1.0-0.34","j","false","20","true","response","true",""
"","null","html-keyboard-response","70","190703","0.0-1.0-1.34","null","","","","","","Correct!"
"","717","canvas-keyboard-response","71","191931","0.0-1.0-0.35","f","true","30","false","response","true",""
"","null","html-keyboard-response","72","193446","0.0-1.0-1.35","null","","","","","","Correct!"
"","1074","canvas-keyboard-response","73","195022","0.0-1.0-0.36","j","false","40","true","response","true",""
"","null","html-keyboard-response","74","196559","0.0-1.0-1.36","null","","","","","","Correct!"
"","844","canvas-keyboard-response","75","197905","0.0-1.0-0.37","j","false","10","false","response","true",""
"","null","html-keyboard-response","76","199414","0.0-1.0-1.37","null","","","","","","Correct!"
"","1571","canvas-keyboard-response","77","201487","0.0-1.0-0.38","j","false","30","true","response","true",""
"","null","html-keyboard-response","78","203004","0.0-1.0-1.38","null","","","","","","Correct!"
"","635","canvas-keyboard-response","79","204142","0.0-1.0-0.39","j","false","10","false","response","true",""
"","null","html-keyboard-response","80","205658","0.0-1.0-1.39","null","","","","","","Correct!"
"","731","canvas-keyboard-response","81","206893","0.0-1.0-0.40","j","false","30","false","response","true",""
"","null","html-keyboard-response","82","208416","0.0-1.0-1.40","null","","","","","","Correct!"
"","576","canvas-keyboard-response","83","209508","0.0-1.0-0.41","f","true","20","false","response","true",""
"","null","html-keyboard-response","84","211028","0.0-1.0-1.41","null","","","","","","Correct!"
"","829","canvas-keyboard-response","85","212363","0.0-1.0-0.42","j","true","10","true","response","false",""
"","null","html-keyboard-response","86","213878","0.0-1.0-1.42","null","","","","","","Wrong"
"","1061","canvas-keyboard-response","87","215442","0.0-1.0-0.43","j","false","20","false","response","true",""
"","null","html-keyboard-response","88","216944","0.0-1.0-1.43","null","","","","","","Correct!"
"","1276","canvas-keyboard-response","89","218721","0.0-1.0-0.44","j","false","40","false","response","true",""
"","null","html-keyboard-response","90","220242","0.0-1.0-1.44","null","","","","","","Correct!"
"","727","canvas-keyboard-response","91","221480","0.0-1.0-0.45","j","false","10","false","response","true",""
"","null","html-keyboard-response","92","223002","0.0-1.0-1.45","null","","","","","","Correct!"
"","1392","canvas-keyboard-response","93","224906","0.0-1.0-0.46","f","true","30","true","response","true",""
"","null","html-keyboard-response","94","226420","0.0-1.0-1.46","null","","","","","","Correct!"
"","921","canvas-keyboard-response","95","227851","0.0-1.0-0.47","j","false","30","false","response","true",""
"","null","html-keyboard-response","96","229362","0.0-1.0-1.47","null","","","","","","Correct!"
"","1255","canvas-keyboard-response","97","231122","0.0-1.0-0.48","f","true","10","true","response","true",""
"","null","html-keyboard-response","98","232635","0.0-1.0-1.48","null","","","","","","Correct!"
"","771","canvas-keyboard-response","99","233915","0.0-1.0-0.49","f","true","30","false","response","true",""
