"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","649","canvas-keyboard-response","69","113465","0.0-1.0-0.34","f","true","40","false","response","true",""
"","null","html-keyboard-response","70","114985","0.0-1.0-1.34","null","","","","","","Correct!"
"","781","canvas-keyboard-response","71","116278","0.0-1.0-0.35","j","false","10","true","response","true",""
"","null","html-keyboard-response","72","117793","0.0-1.0-1.35","null","","","","","","Correct!"
"","1119","canvas-keyboard-response","73","119427","0.0-1.0-0.36","j","false","20","false","response","true",""
"","null","html-keyboard-response","74","120945","0.0-1.0-1.36","null","","","","","","Correct!"
"","458","canvas-keyboard-response","75","121916","0.0-1.0-0.37","f","true","30","false","response","true",""
"","null","html-keyboard-response","76","123433","0.0-1.0-1.37","null","","","","","","Correct!"
"","1824","canvas-keyboard-response","77","125772","0.0-1.0-0.38","j","false","30","false","response","true",""
"","null","html-keyboard-response","78","127289","0.0-1.0-1.38","null","","","","","","Correct!"
"","686","canvas-keyboard-response","79","128488","0.0-1.0-0.39","f","true","30","false","response","true",""
"","null","html-keyboard-response","80","130001","0.0-1.0-1.39","null","","","","","","Correct!"
"","1308","canvas-keyboard-response","81","131816","0.0-1.0-0.40","j","false","40","false","response","true",""
"","null","html-keyboard-response","82","133337","0.0-1.0-1.40","null","","","","","","Correct!"
"","1132","canvas-keyboard-response","83","134982","0.0-1.0-0.41","f","true","20","true","response","true",""
"","null","html-keyboard-response","84","136496","0.0-1.0-1.41","null","","","","","","Correct!"
"","954","canvas-keyboard-response","85","137969","0.0-1.0-0.42","f","true","10","true","response","true",""
"","null","html-keyboard-response","86","139485","0.0-1.0-1.42","null","","","","","","Correct!"
"","823","canvas-keyboard-response","87","140818","0.0-1.0-0.43","j","false","20","false","response","true",""
"","null","html-keyboard-response","88","142337","0.0-1.0-1.43","null","","","","","","Correct!"
"","822","canvas-keyboard-response","89","143672","0.0-1.0-0.44","j","false","10","true","response","true",""
"","null","html-keyboard-response","90","145189","0.0-1.0-1.44","null","","","","","","Correct!"
"","2620","canvas-keyboard-response","91","148317","0.0-1.0-0.45","j","false","40","true","response","true",""
"","null","html-keyboard-response","92","149830","0.0-1.0-1.45","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","801","canvas-keyboard-response","93","151137","0.0-1.0-0.46","j","false","30","true","response","true",""
"","null","html-keyboard-response","94","152652","0.0-1.0-1.46","null","","","","","","Correct!"
"","1063","canvas-keyboard-response","95","154225","0.0-1.0-0.47","f","true","20","true","response","true",""
"","null","html-keyboard-response","96","155744","0.0-1.0-1.47","null","","","","","","Correct!"
"","1178","canvas-keyboard-response","97","157435","0.0-1.0-0.48","j","false","40","false","response","true",""
"","null","html-keyboard-response","98","158952","0.0-1.0-1.48","null","","","","","","Correct!"
"","553","canvas-keyboard-response","99","160017","0.0-1.0-0.49","f","true","20","false","response","true",""
"","null","html-keyboard-response","100","161536","0.0-1.0-1.49","null","","","","","","Correct!"
"","879","canvas-keyboard-response","101","162928","0.0-1.0-0.50","j","true","30","true","response","false",""
"","null","html-keyboard-response","102","164444","0.0-1.0-1.50","null","","","","","","Wrong"
"","1394","canvas-keyboard-response","103","166348","0.0-1.0-0.51","j","false","40","true","response","true",""
"","null","html-keyboard-response","104","167862","0.0-1.0-1.51","null","","","","","","Correct!"
"","1397","canvas-keyboard-response","105","169766","0.0-1.0-0.52","j","false","40","false","response","true",""
"","null","html-keyboard-response","106","171280","0.0-1.0-1.52","null","","","","","","Correct!"
"","526","canvas-keyboard-response","107","172316","0.0-1.0-0.53","f","true","10","false","response","true",""
"","null","html-keyboard-response","108","173831","0.0-1.0-1.53","null","","","","","","Correct!"
"","1244","canvas-keyboard-response","109","175588","0.0-1.0-0.54","f","true","40","true","response","true",""
"","null","html-keyboard-response","110","177103","0.0-1.0-1.54","null","","","","","","Correct!"
"","749","canvas-keyboard-response","111","178362","0.0-1.0-0.55","j","false","20","true","response","true",""
"","null","html-keyboard-response","112","179879","0.0-1.0-1.55","null","","","","","","Correct!"
"","1135","canvas-keyboard-response","113","181527","0.0-1.0-0.56","j","false","40","false","response","true",""
"","null","html-keyboard-response","114","183047","0.0-1.0-1.56","null","","","","","","Correct!"
"","516","canvas-keyboard-response","115","184077","0.0-1.0-0.57","f","true","20","false","response","true",""
"","null","html-keyboard-response","116","185591","0.0-1.0-1.57","null","","","","","","Correct!"
"","734","canvas-keyboard-response","117","186837","0.0-1.0-0.58","j","false","20","true","response","true",""
"","null","html-keyboard-response","118","188351","0.0-1.0-1.58","null","","","","","","Correct!"
"","703","canvas-keyboard-response","119","189567","0.0-1.0-0.59","j","false","10","true","response","true",""
"","null","html-keyboard-response","120","191087","0.0-1.0-1.59","null","","","","","","Correct!"
"","1355","canvas-keyboard-response","121","192955","0.0-1.0-0.60","f","true","20","true","response","true",""
"","null","html-keyboard-response","122","194469","0.0-1.0-1.60","null","","","","","","Correct!"
"","2002","canvas-keyboard-response","123","196977","0.0-1.0-0.61","j","false","40","false","response","true",""
"","null","html-keyboard-response","124","198490","0.0-1.0-1.61","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","781","canvas-keyboard-response","125","199780","0.0-1.0-0.62","j","false","30","false","response","true",""
"","null","html-keyboard-response","126","201292","0.0-1.0-1.62","null","","","","","","Correct!"
"","969","canvas-keyboard-response","127","202766","0.0-1.0-0.63","f","true","10","true","response","true",""
"","null","html-keyboard-response","128","204286","0.0-1.0-1.63","null","","","","","","Correct!"
"","1327","canvas-keyboard-response","129","206127","0.0-1.0-0.64","j","false","30","true","response","true",""
"","null","html-keyboard-response","130","207646","0.0-1.0-1.64","null","","","","","","Correct!"
"","728","canvas-keyboard-response","131","208888","0.0-1.0-0.65","j","false","40","false","response","true",""
"","null","html-keyboard-response","132","210403","0.0-1.0-1.65","null","","","","","","Correct!"
"","2177","canvas-keyboard-response","133","213087","0.0-1.0-0.66","f","true","30","true","response","true",""
"","null","html-keyboard-response","134","214602","0.0-1.0-1.66","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1126","canvas-keyboard-response","135","216236","0.0-1.0-0.67","j","false","40","true","response","true",""
"","null","html-keyboard-response","136","217750","0.0-1.0-1.67","null","","","","","","Correct!"
"","797","canvas-keyboard-response","137","219058","0.0-1.0-0.68","j","true","20","true","response","false",""
"","null","html-keyboard-response","138","220574","0.0-1.0-1.68","null","","","","","","Wrong"
"","669","canvas-keyboard-response","139","221756","0.0-1.0-0.69","f","true","30","false","response","true",""
"","null","html-keyboard-response","140","223265","0.0-1.0-1.69","null","","","","","","Correct!"
"","591","canvas-keyboard-response","141","224367","0.0-1.0-0.70","j","false","10","true","response","true",""
"","null","html-keyboard-response","142","225881","0.0-1.0-1.70","null","","","","","","Correct!"
"","645","canvas-keyboard-response","143","227036","0.0-1.0-0.71","j","false","10","true","response","true",""
"","null","html-keyboard-response","144","228550","0.0-1.0-1.71","null","","","","","","Correct!"
"","615","canvas-keyboard-response","145","229677","0.0-1.0-0.72","f","true","10","false","response","true",""
"","null","html-keyboard-response","146","231197","0.0-1.0-1.72","null","","","","","","Correct!"
"","968","canvas-keyboard-response","147","232676","0.0-1.0-0.73","j","false","20","false","response","true",""
"","null","html-keyboard-response","148","234189","0.0-1.0-1.73","null","","","","","","Correct!"
"","527","canvas-keyboard-response","149","235226","0.0-1.0-0.74","f","true","20","false","response","true",""
"","null","html-keyboard-response","150","236741","0.0-1.0-1.74","null","","","","","","Correct!"
"","536","canvas-keyboard-response","151","237791","0.0-1.0-0.75","f","true","30","false","response","true",""
