"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"[{""page_index"":0,""viewing_time"":68960},{""page_index"":1,""viewing_time"":20395}]","89356","instructions","0","89358","0.0-0.0","","","","","","",""
"","3071","canvas-keyboard-response","1","92962","0.0-1.0-0.0","j","true","10","false","response","false",""
"","null","html-keyboard-response","2","94490","0.0-1.0-1.0","null","","","","","","Wrong<br><br><b>Work faster!</b>"
"","4720","canvas-keyboard-response","3","99712","0.0-1.0-0.1","j","false","20","true","response","true",""
"","null","html-keyboard-response","4","101220","0.0-1.0-1.1","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1443","canvas-keyboard-response","5","103179","0.0-1.0-0.2","f","true","30","false","response","true",""
"","null","html-keyboard-response","6","104694","0.0-1.0-1.2","null","","","","","","Correct!"
"","1549","canvas-keyboard-response","7","106758","0.0-1.0-0.3","f","true","10","true","response","true",""
"","null","html-keyboard-response","8","108278","0.0-1.0-1.3","null","","","","","","Correct!"
"","4746","canvas-keyboard-response","9","113539","0.0-1.0-0.4","j","false","40","false","response","true",""
"","null","html-keyboard-response","10","115055","0.0-1.0-1.4","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1601","canvas-keyboard-response","11","117166","0.0-1.0-0.5","f","true","30","false","response","true",""
"","null","html-keyboard-response","12","118692","0.0-1.0-1.5","null","","","","","","Correct!"
"","3090","canvas-keyboard-response","13","122294","0.0-1.0-0.6","j","false","20","false","response","true",""
"","null","html-keyboard-response","14","123806","0.0-1.0-1.6","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","5268","canvas-keyboard-response","15","129585","0.0-1.0-0.7","j","false","30","true","response","true",""
"","null","html-keyboard-response","16","131094","0.0-1.0-1.7","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","3204","canvas-keyboard-response","17","134808","0.0-1.0-0.8","j","false","30","true","response","true",""
"","null","html-keyboard-response","18","136318","0.0-1.0-1.8","null","","","","","","Correct!<br><br><b>Work faster!</b>"
"","1491","canvas-keyboard-response","19","138310","0.0-1.0-0.9","f","true","20","true","response","true",""
"","null","html-keyboard-response","20","139830","0.0-1.0-1.9","null","","","","","","Correct!"
"","1598","canvas-keyboard-response","21","141930","0.0-1.0-0.10","j","false","30","false","response","true",""
"","null","html-keyboard-response","22","143441","0.0-1.0-1.10","null","","","","","","Correct!"
"","613","canvas-keyboard-response","23","144563","0.0-1.0-0.11","f","true","20","false","response","true",""
"","null","html-keyboard-response","24","146073","0.0-1.0-1.11","null","","","","","","Correct!"
"","780","canvas-keyboard-response","25","147354","0.0-1.0-0.12","f","true","40","true","response","true",""
"","null","html-keyboard-response","26","148859","0.0-1.0-1.12","null","","","","","","Correct!"
"","1036","canvas-keyboard-response","27","150398","0.0-1.0-0.13","f","true","40","false","response","true",""
"","null","html-keyboard-response","28","151902","0.0-1.0-1.13","null","","","","","","Correct!"
